Condado,Abogado/firma ,Dirección ,ZIP Code,Telefono,Especialidad ,Region
Orange County,The Law Office of Corey I. Cohen ,"21 Park Lake St, Orlando, FL 32803",32801,(407) 246-0066,Criminal Defense,Orlando
Orange County,The Umansky Law Firm,"1945 E Michigan St, Orlando, FL",32806,(407) 228-3838,Criminal Defense,Orlando
Orange County,The Law Office of Steven G. Mason,"37 N Orange Ave #500, Orlando, FL",32801,(407) 422-4529,Criminal Defense,Orlando
Orange County,Leppard Law,"638 Broadway Ave, Orlando, FL",32803,(407) 244-3000,Criminal Defense,Orlando
Orange County,NeJame Law,"189 S Orange Ave #1800, Orlando, FL",32801,(407) 500-0000,Criminal Defense,Orlando
Orange County,The Baez Law Firm,"638 Broadway Ave, Orlando, FL",32803,(407) 898-5035,Criminal Defense,Orlando
Orange County,Law Office of John Guidry,"800 N Magnolia Ave #1625, Orlando, FL",32803,(407) 423-1117,Criminal Defense,Orlando
Orange County,Law Office of Brian D. Tadros,"800 N Magnolia Ave, Orlando, FL",32803,(407) 423-6360,Criminal Defense,Orlando
Osceola County,The Law Office of Wyndell G. Darville,"103 E Monument Ave, Kissimmee, FL",34741,(407) 846-0075,Criminal Defense,Kissimmee
Seminole County,The Law Office of David Bigney,"165 W Jessup Ave, Longwood, FL",32750,(407) 834-3311,Criminal Defense,Longwood
Seminole County,The Law Office of James R. Spears,"1057 Willa Springs Dr #100, Winter Springs, FL",32708,(407) 542-0505,Criminal Defense,Winter Springs
Seminole County,Law Office of Michael J. Duggan,"950 S Winter Park Dr, Casselberry, FL",32707,(407) 834-8000,Criminal Defense,Casselberry
Polk County,Law Office of Timothy W. Terry,"146 2nd St NW, Winter Haven, FL",33881,(863) 293-7447,Criminal Defense,Winter Haven
Polk County,Law Office of Brian P. Haas,"550 Pope Ave NW #300, Winter Haven, FL",33881,(863) 299-2299,Criminal Defense,Winter Haven
Polk County,Law Office of Christopher A. Sierra,"114 E Main St, Bartow, FL",33830,(863) 533-8100,Criminal Defense,Bartow
Brevard County,Law Office of Robert L. Downey,"505 Delannoy Ave #301, Cocoa, FL",32922,(321) 639-1320,Criminal Defense,Cocoa
Brevard County,Law Office of Stephen G. Webster,"190 Center St, Cape Canaveral, FL",32920,(321) 783-4141,Criminal Defense,Cape Canaveral
Flagler County,The Law Office of Jeffrey Brower,"160 Cypress Point Pkwy #B207, Palm Coast, FL",32164,(386) 445-5530,Criminal Defense,Palm Coast
Volusia County,The Law Office of David B. Sacks,"120 E Granada Blvd, Ormond Beach, FL",32176,(386) 672-8080,Criminal Defense,Ormond Beach
Highlands County,The Law Office of J. Michael Shuler,"209 S Commerce Ave, Sebring, FL",33870,(863) 385-4444,Criminal Defense,Sebring
Escambia County,The Law Office of J. Scott Merritt,"201 E Government St, Pensacola, FL",32502,(850) 437-1100,Criminal Defense,Pensacola
Escambia County,The Law Office of James Burns,"226 S Palafox St, Pensacola, FL",32502,(850) 433-1200,Criminal Defense,Pensacola
Escambia County,The Law Office of Randall J. Etheridge,"221 W Garden St, Pensacola, FL",32502,(850) 434-7766,Criminal Defense,Pensacola
Escambia County,The Law Office of David L. McLeod,"307 S Palafox St, Pensacola, FL",32502,(850) 432-1800,Criminal Defense,Pensacola
Escambia County,The Law Office of Thomas J. Ueberschaer,"1720 W Fairfield Dr, Pensacola, FL",32501,(850) 432-2345,Criminal Defense,Pensacola
Escambia County,The Law Office of Paul H. Skier,"310 S Baylen St #520, Pensacola, FL",32502,(850) 434-4343,Criminal Defense,Pensacola
Escambia County,The Law Office of Christopher Janes,"501 Brent Ln, Pensacola, FL",32503,(850) 432-0202,Criminal Defense,Pensacola
Leon County,The Law Office of Collin Cherry,"1114 E Park Ave, Tallahassee, FL",32301,(850) 224-5000,Criminal Defense,Tallahassee
Leon County,The Law Office of Nathan Prince,"101 N Monroe St #1000, Tallahassee, FL",32301,(850) 273-8324,Criminal Defense,Tallahassee
Leon County,The Law Office of Michael Ufferman,"2022 Raymond Diehl Rd, Tallahassee, FL",32308,(850) 385-9300,Criminal Defense,Tallahassee
Leon County,The Law Office of H. Scott Fingerhut,"1500 Mahan Dr #250, Tallahassee, FL",32308,(850) 224-4600,Criminal Defense,Tallahassee
Leon County,The Law Office of Travis DuRant,"1704 Hermitage Blvd #100, Tallahassee, FL",32308,(850) 222-9999,Criminal Defense,Tallahassee
Okaloosa County,The Law Office of Randall Spivey,"1817 Lewis Turner Blvd, Fort Walton Beach, FL",32547,(850) 863-4900,Criminal Defense,Fort Walton Beach
Okaloosa County,The Law Office of Kevin M. Gunter,"909 Mar Walt Dr #1014, Fort Walton Beach, FL",32547,(850) 226-7600,Criminal Defense,Fort Walton Beach
Okaloosa County,The Law Office of John Jay Miller,"1992 Lewis Turner Blvd #101, Fort Walton Beach, FL",32547,(850) 244-6800,Criminal Defense,Fort Walton Beach
Santa Rosa County,The Law Office of John J. Shell,"4495 Caroline St, Milton, FL",32570,(850) 623-9000,Criminal Defense,Milton
Bay County,The Law Office of Wade G. Mercer,"503 Harrison Ave, Panama City, FL",32401,(850) 785-7454,Criminal Defense,Panama City
Bay County,The Law Office of William G. Smith,"221 McKenzie Ave, Panama City, FL",32401,(850) 785-7500,Criminal Defense,Panama City
Duval County,"The Law Office of Kate Mesic, P.A.","501 Riverside Ave #902, Jacksonville, FL",32202,(904) 358-0990,Criminal Defense,Jacksonville
Duval County,The Law Office of Shorstein & Lee,"4651 Salisbury Rd #400, Jacksonville, FL",32256,(904) 358-0700,Criminal Defense,Jacksonville
Duval County,"The Law Office of Tony I. Moss, P.A.","301 W Bay St #14155, Jacksonville, FL",32202,(904) 358-1110,Criminal Defense,Jacksonville
Duval County,"The Law Office of Nooney, Roberts, Hewett & Nowicki","501 Riverside Ave #601, Jacksonville, FL",32202,(904) 398-1992,Criminal Defense,Jacksonville
Duval County,"The Law Office of Jason K.S. Porter, P.A.","100 N Laura St #702, Jacksonville, FL",32202,(904) 701-0591,Criminal Defense,Jacksonville
Duval County,"The Law Office of Matthew D. Shirk, P.A.","1301 Riverplace Blvd #1500, Jacksonville, FL",32207,(904) 680-7777,Criminal Defense,Jacksonville
St. Johns County,The Law Office of Canan Law,"501 Anastasia Blvd, St Augustine, FL",32080,(904) 824-9400,Criminal Defense,St. Augustine
St. Johns County,"The Law Office of Kyle E. Merritt, P.A.","1521 N Ponce De Leon Blvd, St Augustine, FL",32084,(904) 824-3000,Criminal Defense,St. Augustine
Alachua County,The Law Office of Musca Law,"207 NE 1st St, Gainesville, FL",32601,(352) 375-0812,Criminal Defense,Gainesville
Alachua County,"The Law Office of Fine, Farkash & Parlapiano, P.A.","622 NE 1st St, Gainesville, FL",32601,(352) 372-7171,Criminal Defense,Gainesville
Clay County,"The Law Office of Brown & Barbas, PLLC","2301 Park Ave #404, Orange Park, FL",32073,(904) 264-3412,Criminal Defense,Orange Park
Clay County,"The Law Office of The Law Offices of John J. Rahaim, P.A.","1279 Kingsley Ave #118, Orange Park, FL",32073,(904) 264-8800,Criminal Defense,Orange Park
Marion County,The Law Office of Dean Tsourakis,"615 SE 17th St #201, Ocala, FL",34471,(352) 671-9777,Criminal Defense,Ocala
