Condado,Abogado/firma ,Dirección ,ZIP Code,Telefono,Especialidad ,Region
🟨 CENTRAL FLORIDA,,,,,,
ORANGE COUNTY — ZIP: 32789 – 32899,,,,,,
Orange County,Bogin Munns & Munns PA,"1000 Legion Pl #1000, Orlando, FL",32801,(407) 578-9696,Business Law,Orlando
Orange County,The Law Office of Corey I. Cohen ,"21 Park Lake St, Orlando, FL 32803",32801,(407) 246-0066,Criminal Defense,Orlando
Orange County,The Umansky Law Firm,"1945 E Michigan St, Orlando, FL",32806,(407) 228-3838,Criminal Defense,Orlando
Orange County,Nater Law Firm PLLC,"100 E Pine St #110, Orlando, FL",32801,(407) 203-6575,Personal Injury,Orlando
Orange County,The Law Office of Steven G. Mason,"37 N Orange Ave #500, Orlando, FL",32801,(407) 422-4529,Criminal Defense,Orlando
Orange County,Leppard Law,"638 Broadway Ave, Orlando, FL",32803,(407) 244-3000,Criminal Defense,Orlando
Orange County,The Rivas Law Firm,"111 N Orange Ave #800, Orlando, FL",32801,(407) 644-8844,Immigration,Orlando
Orange County,NeJame Law,"189 S Orange Ave #1800, Orlando, FL",32801,(407) 500-0000,Criminal Defense,Orlando
Orange County,Law Office of Gustavo Frances PA,"37 N Orange Ave #500, Orlando, FL",32801,(407) 412-7041,Immigration,Orlando
Orange County,The Lopez Law Group,"390 N Orange Ave #2300, Orlando, FL",32801,(407) 512-4394,Personal Injury,Orlando
Orange County,The Baez Law Firm,"638 Broadway Ave, Orlando, FL",32803,(407) 898-5035,Criminal Defense,Orlando
Orange County,Law Office of Modesto A. Maidique,"111 N Orange Ave #800, Orlando, FL",32801,(407) 245-2887,Immigration,Orlando
Orange County,Law Office of John Guidry,"800 N Magnolia Ave #1625, Orlando, FL",32803,(407) 423-1117,Criminal Defense,Orlando
Orange County,The Law Office of Brittany Wagner,"390 N Orange Ave #2300, Orlando, FL",32801,(407) 602-2000,Family Law,Orlando
Orange County,Law Office of Derek B. Alvarez,"800 N Magnolia Ave, Orlando, FL",32803,(407) 603-6722,Estate Planning,Orlando
Orange County,Law Office of Carlos G. Smith,"390 N Orange Ave #2300, Orlando, FL",32801,(407) 801-4357,Civil Litigation,Orlando
Orange County,Law Office of Brian D. Tadros,"800 N Magnolia Ave, Orlando, FL",32803,(407) 423-6360,Criminal Defense,Orlando
OSCEOLA COUNTY — ZIP: 34741 – 34747,,,,,,
Osceola County,The Law Office of Jose L. Rivas,"21 S Clyde Ave, Kissimmee, FL",34741,(407) 847-1400,Immigration,Kissimmee
Osceola County,The Law Office of Wyndell G. Darville,"103 E Monument Ave, Kissimmee, FL",34741,(407) 846-0075,Criminal Defense,Kissimmee
Osceola County,The Pendas Law Firm (Kissimmee),"920 N Main St, Kissimmee, FL",34744,(407) 648-2800,Personal Injury,Kissimmee
SEMINOLE COUNTY — ZIP: 32707 – 32779,,,,,,
Seminole County,The Law Office of David Bigney,"165 W Jessup Ave, Longwood, FL",32750,(407) 834-3311,Criminal Defense,Longwood
Seminole County,Law Office of Sherri L. Collins,"111 N Wymore Rd, Altamonte Springs, FL",32714,(407) 862-6464,Family Law,Altamonte Springs
Seminole County,The Law Office of James R. Spears,"1057 Willa Springs Dr #100, Winter Springs, FL",32708,(407) 542-0505,Criminal Defense,Winter Springs
Seminole County,Law Office of Jeffrey Dowd,"200 W Lake Mary Blvd, Sanford, FL",32773,(407) 323-9300,Estate Planning,Sanford
Seminole County,Law Office of David A. Best,"1301 E Altamonte Dr, Altamonte Springs, FL",32701,(407) 260-2000,Business Law,Altamonte Springs
Seminole County,Law Office of Michael J. Duggan,"950 S Winter Park Dr, Casselberry, FL",32707,(407) 834-8000,Criminal Defense,Casselberry
Seminole County,Law Office of Daniel R. Weiner,"283 Cranes Roost Blvd #111, Altamonte Springs, FL",32701,(407) 645-4833,Estate Planning,Altamonte Springs
Seminole County,Law Office of Jennifer Jackson,"255 Primera Blvd #160, Lake Mary, FL",32746,(407) 333-4455,Family Law,Lake Mary
POLK COUNTY — ZIP: 33801 – 33898,,,,,,
Polk County,Law Office of Timothy W. Terry,"146 2nd St NW, Winter Haven, FL",33881,(863) 293-7447,Criminal Defense,Winter Haven
Polk County,Law Office of Kevin R. McNamara,"2210 S Florida Ave, Lakeland, FL",33803,(863) 687-0200,Family Law,Lakeland
Polk County,The Law Office of John L. Crawford,"2115 S Florida Ave, Lakeland, FL",33803,(863) 683-3163,Personal Injury,Lakeland
Polk County,Law Office of Brian P. Haas,"550 Pope Ave NW #300, Winter Haven, FL",33881,(863) 299-2299,Criminal Defense,Winter Haven
Polk County,Law Office of David M. Taylor,"113 Palmola St, Lakeland, FL",33803,(863) 682-1900,Family Law,Lakeland
Polk County,Law Office of Christopher A. Sierra,"114 E Main St, Bartow, FL",33830,(863) 533-8100,Criminal Defense,Bartow
Lake County — ZIP: 32726 – 34788,,,,,,
Lake County,Law Office of James E. Thomas,"315 W Main St, Tavares, FL",32778,(352) 343-4444,Family Law,Tavares
Lake County,Law Office of David R. Heil,"101 E Main St, Tavares, FL",32778,(352) 343-0090,Estate Planning,Tavares
BREVARD COUNTY — ZIP: 32780 – 32959,,,,,,
Brevard County,"Douglas R. Beam, P.A.","25 W New Haven Ave #101, Melbourne, FL",32901,(321) 723-6591,Personal Injury,Melbourne
Brevard County,Law Office of John M. Phillips,"2323 S Babcock St, Melbourne, FL",32901,(321) 951-4500,Personal Injury,Melbourne
Brevard County,Law Office of Robert L. Downey,"505 Delannoy Ave #301, Cocoa, FL",32922,(321) 639-1320,Criminal Defense,Cocoa
Brevard County,Law Office of Stephen G. Webster,"190 Center St, Cape Canaveral, FL",32920,(321) 783-4141,Criminal Defense,Cape Canaveral
FLAGLER COUNTY — ZIP: 32110 – 32164,,,,,,
Flagler County,Chiumento Law PLLC,"145 City Pl #301, Palm Coast, FL",32164,(386) 445-8900,Personal Injury,Palm Coast
Flagler County,The Law Office of Jeffrey Brower,"160 Cypress Point Pkwy #B207, Palm Coast, FL",32164,(386) 445-5530,Criminal Defense,Palm Coast
Flagler County,The Law Office of Michael E. Haas,"1 Florida Park Dr S, Palm Coast, FL",32137,(386) 445-1122,Family Law,Palm Coast
VOLUSIA COUNTY — ZIP: 32114 – 32199,,,,,,
Volusia County,The Law Office of David B. Sacks,"120 E Granada Blvd, Ormond Beach, FL",32176,(386) 672-8080,Criminal Defense,Ormond Beach
Volusia County,Rice Law Firm (Daytona),"103 Orange Ave #200, Daytona Beach, FL",32114,(386) 255-5000,Personal Injury,Daytona Beach
HIGHLANDS COUNTY — ZIP: 33825 – 33876,,,,,,
Highlands County,The Law Office of J. Michael Shuler,"209 S Commerce Ave, Sebring, FL",33870,(863) 385-4444,Criminal Defense,Sebring
Highlands County,Law Office of James L. Lowman,"205 S Commerce Ave, Sebring, FL",33870,(863) 385-5156,Family Law,Sebring
Highlands County,Law Office of Robert W. Gant,"216 S Commerce Ave, Sebring, FL",33870,(863) 385-2222,Estate Planning,Sebring
🟦 NORTH FLORIDA / PANHANDLE,,,,,,
Escambia County (ZIP: 32501–32599),,,,,,
Escambia County,"Waddell & Waddell, P.A.","125 W Romana St #800, Pensacola, FL",32502,(850) 438-8270,Personal Injury,Pensacola
Escambia County,"The Virga Law Firm, P.A.","109 E Garden St #500, Pensacola, FL",32502,(850) 466-3330,Family Law,Pensacola
Escambia County,The Law Office of J. Scott Merritt,"201 E Government St, Pensacola, FL",32502,(850) 437-1100,Criminal Defense,Pensacola
Escambia County,The Law Office of James Burns,"226 S Palafox St, Pensacola, FL",32502,(850) 433-1200,Criminal Defense,Pensacola
Escambia County,The Law Office of Randall J. Etheridge,"221 W Garden St, Pensacola, FL",32502,(850) 434-7766,Criminal Defense,Pensacola
Escambia County,The Law Office of David L. McLeod,"307 S Palafox St, Pensacola, FL",32502,(850) 432-1800,Criminal Defense,Pensacola
Escambia County,The Law Office of Thomas J. Ueberschaer,"1720 W Fairfield Dr, Pensacola, FL",32501,(850) 432-2345,Criminal Defense,Pensacola
Escambia County,The Law Office of Paul H. Skier,"310 S Baylen St #520, Pensacola, FL",32502,(850) 434-4343,Criminal Defense,Pensacola
Escambia County,The Law Office of Christopher Janes,"501 Brent Ln, Pensacola, FL",32503,(850) 432-0202,Criminal Defense,Pensacola
Escambia County,The Law Office of J. Scott Smith,"4400 Bayou Blvd #35, Pensacola, FL",32503,(850) 476-0000,Family Law,Pensacola
Escambia County,The Law Office of John M. Merting,"125 W Romana St #600, Pensacola, FL",32502,(850) 432-6000,Estate Planning,Pensacola
Leon County (ZIP: 32301–32399),,,,,,
Condado,Abogado/Firma,Dirección,ZIP Code,Teléfono,Especialidad,Región
Leon County,The Law Office of Collin Cherry,"1114 E Park Ave, Tallahassee, FL",32301,(850) 224-5000,Criminal Defense,Tallahassee
Leon County,The Law Office of Nathan Prince,"101 N Monroe St #1000, Tallahassee, FL",32301,(850) 273-8324,Criminal Defense,Tallahassee
