Clinic Name,Phone,Address,City,ZIP,County,Service Type
Riverwood Healthcare Center – Rehabilitation Services,218-927-2121,200 Bunker Hill Dr,Aitkin,56431,Aitkin,Hospital rehabilitation services
Riverwood Physical Therapy – Garrison Clinic,218-927-5580,25427 370th St,Garrison,56450,Aitkin,Rehabilitation therapy center
Riverwood Physical Therapy – McGregor Clinic,218-768-4011,2 E Center Ave,McGregor,55760,Aitkin,Outpatient rehab clinic
Blaine Massage Therapy Center,763-786-8888,10995 Club West Pkwy,Blaine,55449,Anoka,Massage therapy
NovaCare Rehabilitation – Blaine,763-780-7777,11850 Aberdeen St NE,Blaine,55449,Anoka,PT clinic
Allina Health Physical Therapy – Coon Rapids,763-236-6000,9055 Springbrook Dr,Coon Rapids,55433,Anoka,Hospital PT clinic
Atlas Massage Clinic,218-325-0500,620 Main St W,Detroit Lakes,56501,Becker,Massage therapy clinic
Essentia Health – St. Mary’s Clinic,218-844-2300,1027 Washington Ave,Detroit Lakes,56501,Becker,Hospital clinic with rehab services
Essentia Health – St. Mary’s Therapy Center,218-847-0883,1112 Lincoln Ave,Detroit Lakes,56501,Becker,Hospital outpatient therapy center
RehabAuthority Physical Therapy,218-234-2907,924 McKinley Ave,Detroit Lakes,56501,Becker,Private physical therapy clinic
Spitzer Physical Therapy,218-847-4486,1415 Madison Ave,Detroit Lakes,56501,Becker,Rehabilitation therapy clinic
Explore Chiropractic / Massage Therapy,218-333-8811,,Bemidji,56601,Beltrami,Chiropractic clinic with therapeutic massage services
Sanford Bemidji – Outpatient Therapy (Peak Center),218-333-5898,2017 Net Way NW,Bemidji,56601,Beltrami,Large outpatient rehab center; post‑surgical and accident recovery
St. Cloud Orthopedics Physical Therapy,320-251-2663,1901 Connecticut Ave S,Sartell,56377,Benton,Orthopedic rehabilitation clinic
NovaCare Rehabilitation – Sauk Rapids,320-259-7005,1105 2nd St N,Sauk Rapids,56379,Benton,Private rehabilitation clinic
CentraCare – Physical Medicine & Rehabilitation,320-251-2700,1200 6th Ave N,St. Cloud,56303,Benton,Large hospital rehabilitation system
Big Stone Therapies – Ortonville,320-839-2400,420 2nd St NW,Ortonville,56278,Big Stone,Outpatient PT clinic
Ortonville Area Health Services Rehabilitation,320-839-6157,450 Eastvold Ave,Ortonville,56278,Big Stone,Hospital rehab center
Ortonville Massage Therapy,320-839-3333,315 Main St,Ortonville,56278,Big Stone,Massage therapy
Mankato Physical Therapy,507-387-5858,1400 Madison Ave,Mankato,56001,Blue Earth,Outpatient PT clinic
Mayo Clinic Health System – Rehabilitation,507-625-4031,1025 Marsh St,Mankato,56001,Blue Earth,Mayo Clinic system rehab center
Orthopaedic & Fracture Clinic – Physical Therapy,507-386-6600,1431 Premier Dr,Mankato,56001,Blue Earth,Orthopedic rehab clinic
New Ulm Massage Therapy,507-354-4000,15 N Minnesota St,New Ulm,56073,Brown,Massage therapy
New Ulm Medical Center Rehabilitation,507-217-5011,1324 5th St N,New Ulm,56073,Brown,Hospital rehab center
NovaCare Rehabilitation – New Ulm,507-354-8833,516 20th St N,New Ulm,56073,Brown,Outpatient PT clinic
Carlton Wellness Center Therapy Services,218-384-1115,199 Chestnut Ave,Carlton,55718,Carlton,Community therapy center
Community Memorial Hospital Rehabilitation,218-485-4481,512 Skyline Blvd,Cloquet,55720,Carlton,Hospital rehab center
Essentia Health – Cloquet Physical Therapy,218-786-3800,512 Skyline Blvd,Cloquet,55720,Carlton,Hospital therapy clinic
Chaska Massage Therapy,952-368-7777,127 W 4th St,Chaska,55318,Carver,Massage clinic
NovaCare Rehabilitation – Chaska,952-448-4444,1100 Hazeltine Blvd,Chaska,55318,Carver,PT clinic
Ridgeview Rehabilitation – Waconia,952-442-2191,500 S Maple St,Waconia,55387,Carver,Hospital rehab services
Essentia Health – Pine River Physical Therapy,218-587-4430,280 Barclay Ave,Pine River,56474,Cass,Clinic-based rehab services
Back In Motion Physical Therapy – Walker,218-547-0080,507 Minnesota Ave,Walker,56484,Cass,Private PT clinic
